Sample,Time_Interval,Growth_Rate
A,0-3 hrs,0.045925320437824
A,0-3 hrs,0.0507627814610188
A,0-3 hrs,0.0480183423517909
C,0-3 hrs,0.0438015929525105
C,0-3 hrs,0.0445129694567391
C,0-3 hrs,0.0593390600305732
D,0-3 hrs,0.045925320437824
D,0-3 hrs,0.0567539051316524
D,0-3 hrs,0.0438015929525105
E,0-3 hrs,0.0493970654140037
E,0-3 hrs,0.0445129694567391
E,0-3 hrs,0.04732402530236
A,3-6 hrs,0.0820131348889863
A,3-6 hrs,0.0783671606518909
A,3-6 hrs,0.0750536101182566
C,3-6 hrs,0.0880709312984915
C,3-6 hrs,0.094182196656656
C,3-6 hrs,0.0653733046358977
D,3-6 hrs,0.0800052687582403
D,3-6 hrs,0.0715828030661391
D,3-6 hrs,0.0733779543193752
E,3-6 hrs,0.0753152992524671
E,3-6 hrs,0.0743747371888663
E,3-6 hrs,0.0753349031291713
A,6-9 hrs,0.0609395020895286
A,6-9 hrs,0.0641312567593602
A,6-9 hrs,0.0655439870877916
C,6-9 hrs,0.0590846764824913
C,6-9 hrs,0.0588204479505825
C,6-9 hrs,0.0639035748913682
D,6-9 hrs,0.058156918459118
D,6-9 hrs,0.0633925734447621
D,6-9 hrs,0.0630692741427286
E,6-9 hrs,0.0612569778277642
E,6-9 hrs,0.0596842833495644
E,6-9 hrs,0.0603421589103978
A,9-10 hrs,0.1029928866619604
A,9-10 hrs,0.0978233561036829
A,9-10 hrs,0.0943850379775528
C,9-10 hrs,0.105343180544919
C,9-10 hrs,0.0911004649495323
C,9-10 hrs,0.1062500392621997
D,9-10 hrs,0.1003061145140913
D,9-10 hrs,0.0616342526595133
D,9-10 hrs,0.1331955343902445
E,9-10 hrs,0.1010568151817293
E,9-10 hrs,0.1155620440126342
E,9-10 hrs,0.0884864674867229
A,10-11 hrs,0.0199780419494118
A,10-11 hrs,0.0072384089239193
A,10-11 hrs,0.0179819260943288
C,10-11 hrs,0.059507810582636
C,10-11 hrs,0.0650574296007653
C,10-11 hrs,0.0543576623225928
D,10-11 hrs,0.0225984521837553
D,10-11 hrs,0.0557310817519701
D,10-11 hrs,-0.0068004795917596
E,10-11 hrs,0.016202246998959
E,10-11 hrs,0.0164861495693358
E,10-11 hrs,0.036452269121577
A,11-12 hrs,-0.0023731997956147
A,11-12 hrs,0.0035744603582981
A,11-12 hrs,0.0036292229183484
C,11-12 hrs,0.0616179561255463
C,11-12 hrs,0.0668730115820364
C,11-12 hrs,0.0710428441132653
D,11-12 hrs,-0.0074029260959141
D,11-12 hrs,-0.028538343938068
D,11-12 hrs,0.0128916661442909
E,11-12 hrs,0.0072788488505639
E,11-12 hrs,-0.0012461830125989
E,11-12 hrs,-0.0049352176755121
A,12-13 hrs,0.0226034796809752
A,12-13 hrs,0.0264685159312971
A,12-13 hrs,0.0274259553120829
C,12-13 hrs,0.0583938854440473
C,12-13 hrs,0.0469511545697541
C,12-13 hrs,0.0545747959972129
D,12-13 hrs,0.0080141781066052
D,12-13 hrs,0.0646094508219232
D,12-13 hrs,0.0030138530522304
E,12-13 hrs,-0.0122000854398338
E,12-13 hrs,0.0104802902413034
E,12-13 hrs,-0.0024888004036947
A,13-14 hrs,0.0495809260232817
A,13-14 hrs,0.0420012249335092
A,13-14 hrs,0.0300386151807579
C,13-14 hrs,0.0500351069132626
C,13-14 hrs,0.0523429146460289
C,13-14 hrs,0.0492034858596867
D,13-14 hrs,0.0357476996059698
D,13-14 hrs,0.0195637407832006
D,13-14 hrs,0.0434084820194606
E,13-14 hrs,0.0310342337399687
E,13-14 hrs,0.0439874733575548
E,13-14 hrs,0.0307113622048366
A,14-15 hrs,0.0263882078431375
A,14-15 hrs,0.0193271877389271
A,14-15 hrs,0.0320338866747808
C,14-15 hrs,0.0307501833656001
C,14-15 hrs,0.0213066918215389
C,14-15 hrs,0.0250658003971798
D,14-15 hrs,0.0407785519209776
D,14-15 hrs,0.0366669096719498
D,14-15 hrs,0.0414420957597804
E,14-15 hrs,0.0337862628702025
E,14-15 hrs,0.0359038187137778
E,14-15 hrs,0.0270465268410715
A,15-16 hrs,0.034178180817425
A,15-16 hrs,0.0415689052790859
A,15-16 hrs,0.0289162571162226
C,15-16 hrs,0.0367588660152873
C,15-16 hrs,0.0529745577080401
C,15-16 hrs,0.0412055295932068
D,15-16 hrs,0.0315989860717023
D,15-16 hrs,0.0307228116461171
D,15-16 hrs,0.0414375990092297
E,15-16 hrs,0.0115678492532834
E,15-16 hrs,0.0124877632086215
E,15-16 hrs,0.01450468888358
