Time,Sample,OD,std.deviation,mu
0,C,-0.8239087409443188,0.0,
2,C,-0.6465478075218646,0.0044577180480053,0.08868046671122709
3,C,-0.5139131596102008,0.0118001552387734,0.1326346479116638
5,C,-0.3709354215030222,0.002569135357237,0.07148886905358928
6,C,-0.2916006470260697,0.005293864976348,0.07933477447695253
7,C,-0.239358751858055,0.0065109409725453,0.052241895168014696
8,C,-0.1734933856537297,0.0003739598546042,0.06586536620432529
9,C,-0.123977360021688,0.0018593453781917,0.049516025632041716
10,C,-0.0638834267781584,0.0089728842108319,0.06009393324352959
11,C,-0.0148993427687128,0.0058483488456939,0.04898408400944561
12,C,0.0364724291401757,0.0055261981662353,0.051371771908888496
0,A,-0.8239087409443188,0.0,
2,A,-0.6465392284417711,0.0029428660264399,0.08868475625127381
3,A,-0.5147647844525526,0.0040904665065947,0.13177444398921856
5,A,-0.378487723517066,0.0036438139357895,0.06813853046774329
6,A,-0.3021991997806205,0.0035280587133445,0.07628852373644551
7,A,-0.2544370381963516,0.0064757728664348,0.04776216158426888
8,A,-0.2135354872195639,0.0081058356065667,0.040901550976787715
9,A,-0.2109125477220952,0.0054682935369048,0.002622939497468696
10,A,-0.1958939233036469,0.0066010151893973,0.015018624418448284
11,A,-0.1689008487857662,0.0130613827372988,0.026993074517880716
12,A,-0.1252920659192687,0.0144841456466394,0.0436087828664975
0,B,-0.8239087409443188,0.0,
2,B,-0.6760455269993728,0.0365525839574721,0.07393160697247297
3,B,-0.5556564009818984,0.0313025078920238,0.12038912601747442
5,B,-0.3943283618263775,0.0376229339980955,0.08066401957776045
6,B,-0.327297270055183,0.0286901553912194,0.06703109177119448
7,B,-0.2790380080014469,0.0385796821532695,0.048259262053736096
8,B,-0.2463571547804443,0.0356529858536025,0.032680853221002615
9,B,-0.221578215927228,0.0302666188727318,0.024778938853216276
10,B,-0.1824089256471765,0.0336247773889632,0.039169290280051505
11,B,-0.1320096422282171,0.0335331092125446,0.05039928341895941
12,B,-0.083588252215231,0.0273817680630119,0.04842139001298609
0,D,-0.8239087409443188,0.0,
2,D,-0.6670320795930608,0.0136346510046921,0.078438330675629
3,D,-0.5502669748885166,0.0017783055818862,0.11676510470454415
5,D,-0.3791721215439756,0.0015892510261311,0.0855474266722705
6,D,-0.3130858161662446,0.0050899767283555,0.06608630537773102
7,D,-0.2633478477075147,0.0035895465398598,0.04973796845872991
8,D,-0.229639550213191,0.0008514101085034,0.03370829749432369
9,D,-0.2237866367467279,0.0021017728765286,0.005852913466463078
10,D,-0.2094849548830034,0.0024696518010204,0.014301681863724519
11,D,-0.1747985205403723,0.0032667112071606,0.034686434342631106
12,D,-0.1333387626741998,0.0050816628844549,0.04145975786617248
0,E,-0.8239087409443188,0.0,
2,E,-0.6739252758243083,0.018449503999748,0.07499173256000524
3,E,-0.5499892751215478,0.0176890427674827,0.12393600070276045
5,E,-0.3820760976130178,0.0127366778169857,0.08395658875426501
6,E,-0.3116353942036949,0.0084778590390473,0.0704407034093229
7,E,-0.2521002595577863,0.0062190014913239,0.059535134645908594
8,E,-0.1920658260513701,0.0082117211964072,0.06003443350641621
9,E,-0.130779633291235,0.0038447600524286,0.06128619276013511
10,E,-0.0686063054309813,0.0091321465424917,0.06217332786025369
11,E,-0.0215319359036148,0.0046746436534454,0.0470743695273665
12,E,0.0287488926503748,0.0110529964962728,0.050280828553989604
