Sample_Group,Mean_Growth_Rate (hr⁻¹),StDev_Growth_Rate (hr⁻¹),Interval
A,0.07492129693003047,0.0011246545327774295,3-10 hrs
C,0.07576186097633873,0.004491248764329688,3-10 hrs
D,0.07256620372071142,0.005492293218762867,3-10 hrs
E,0.07257287645979908,0.0016236515794890954,3-10 hrs
A,0.0239200112766764,0.000986711587116813,10-16 hrs
C,0.04988998259209379,0.0009000680778181476,10-16 hrs
D,0.024749100495745663,0.00438087908780608,10-16 hrs
E,0.017058860962388702,0.00254046131081384,10-16 hrs
A,0.050948576611218314,0.0010207808972961543,6-12 hrs
C,0.06814313872537887,0.002122729463633275,6-12 hrs
D,0.04985953611988612,0.00433199203858385,6-12 hrs
E,0.051066316710921704,0.0007854287807480225,6-12 hrs
