Replicate_ID,Time_Interval,Growth_Rate
A1,0-2 hrs,0.08996729906872075
A2,0-2 hrs,0.08900859004585987
A3,0-2 hrs,0.08707837963924081
B1,0-2 hrs,0.053604984823934165
B2,0-2 hrs,0.08900859004585987
B3,0-2 hrs,0.07918124604762483
C1,0-2 hrs,0.08610680199623971
C2,0-2 hrs,0.08996729906872075
C3,0-2 hrs,0.08996729906872075
D1,0-2 hrs,0.08610680199623971
D2,0-2 hrs,0.07614417219152825
D3,0-2 hrs,0.07306401783911903
E1,0-2 hrs,0.06570238942876583
E2,0-2 hrs,0.0751223009365351
E3,0-2 hrs,0.08415050731471474
A1,2-3 hrs,0.12684772641563102
A2,2-3 hrs,0.1287651444613528
A3,2-3 hrs,0.13971046109067176
B1,2-3 hrs,0.12493873660830002
B2,2-3 hrs,0.10978454983850627
B3,2-3 hrs,0.12644409160561687
C1,2-3 hrs,0.13026163254568268
C2,2-3 hrs,0.12398108576402789
C3,2-3 hrs,0.14366122542528104
D1,2-3 hrs,0.10040145685691926
D2,2-3 hrs,0.12340683208555248
D3,2-3 hrs,0.12648702517116062
E1,2-3 hrs,0.12225624208919517
E2,2-3 hrs,0.13154603580524082
E3,2-3 hrs,0.11800572421384536
A1,3-5 hrs,0.06758725655166947
A2,3-5 hrs,0.06915134908314072
A3,3-5 hrs,0.06767698576841963
B1,3-5 hrs,0.07702644957231256
B2,3-5 hrs,0.08070973098788331
B3,3-5 hrs,0.08425587817308558
C1,3-5 hrs,0.07643863670966433
C2,3-5 hrs,0.07316671220894586
C3,3-5 hrs,0.06486125824215758
D1,3-5 hrs,0.08623498093497764
D2,3-5 hrs,0.08365344755122625
D3,3-5 hrs,0.08675385153060769
E1,3-5 hrs,0.08723688654103101
E2,3-5 hrs,0.08576385118436333
E3,3-5 hrs,0.07886902853740071
A1,5-6 hrs,0.08178962915515303
A2,5-6 hrs,0.07255066714861175
A3,5-6 hrs,0.07452527490557187
B1,5-6 hrs,0.07818857251394712
B2,5-6 hrs,0.05683262541215789
B3,5-6 hrs,0.0660720773874785
C1,5-6 hrs,0.07527401332358674
C2,5-6 hrs,0.08798939237019071
C3,5-6 hrs,0.07474091773708019
D1,5-6 hrs,0.06006495560055203
D2,5-6 hrs,0.07198816149622578
D3,5-6 hrs,0.06620579903641532
E1,5-6 hrs,0.07610946033009314
E2,5-6 hrs,0.058119362111915374
E3,5-6 hrs,0.07709328778596003
A1,6-7 hrs,0.040524963626998145
A2,6-7 hrs,0.04978281580478283
A3,6-7 hrs,0.05297870532102564
B1,6-7 hrs,0.03621217265444476
B2,6-7 hrs,0.05663548211053743
B3,6-7 hrs,0.05193013139622593
C1,6-7 hrs,0.04686527655614778
